TF	target	importance
COX7C	SCGB3A2	26.493860244851973
HSPE1	COX7C	25.400455947785943
UGP2	SCGB3A2	24.756975612157937
TXN	SCGB3A2	22.69541328749557
TXN	HSPE1	22.687518126319475
SNRPN	SCGB3A2	22.565327048094378
POMP	DNMT3B	22.560976667804304
SCGB3A2	COX7C	21.223656874302492
TXN	CD24	20.825477752428775
SCGB3A2	UGP2	20.459776725368993
HSPE1	TXN	20.25317585086826
FTL	SLIRP	18.747167672685322
TXN	UGP2	18.66491466133439
HSPE1	SCGB3A2	17.64715505704408
SLIRP	SCGB3A2	17.643928697802956
UGP2	SEPHS1	17.27897217266566
SNRPN	CD24	17.049352332534728
CD24	TXN	16.196369642001
MAGED4	MAP1B	15.839650722053014
TERF1	SCGB3A2	15.711459518875358
FTL	COX7C	15.164717827573252
COX7C	HSPE1	15.088482949660987
CD24	SCGB3A2	14.945125109953105
SCGB3A2	SLIRP	14.828773239312097
DNMT3B	POMP	14.592845243740328
SCGB3A2	CD24	14.375124224351678
CD24	SNRPN	14.257022753455923
DNMT3B	POU5F1	13.741532228867165
COX7C	TXN	13.655409249232017
TERF1	UGP2	13.622179225788816
UGP2	TXN	13.573280583161155
UGP2	DNMT3B	13.571344842233923
HSPE1	SLIRP	13.55680709861849
HSPE1	TMSB4X	13.31920602127975
SCGB3A2	HSPE1	13.274976578235057
HSPE1	NME2	13.25313866301489
SCGB3A2	DNMT3B	13.109181555958925
TXN	COX7C	12.989287666138875
FTL	HSPE1	12.61005371920968
CD24	UGP2	12.609182784213152
TXN	POU5F1	12.540951675347156
HSPE1	SEPHS1	12.359078098970251
UGP2	POU5F1	12.29151280237114
CD24	POU5F1	12.256998406580946
COX7C	FTL	12.20499775500765
TXN	DNMT3B	12.148176559993772
NME2	POMP	11.98858491939038
UGP2	SLIRP	11.933616613813319
UGP2	TERF1	11.751376598146017
SCGB3A2	POMP	11.740124002992621
CD24	SEPHS1	11.721655869577067
DNMT3B	UGP2	11.634889749977116
MAP1B	SLIRP	11.422589903343399
TXN	SEPHS1	11.408106460322731
TERF1	L1TD1	11.339542225455503
SCGB3A2	SNRPN	11.229090087531757
COX7C	UGP2	11.164736174858971
HSPE1	FTL	11.103773706586619
SNRPN	POMP	11.09970743065138
CD24	HSPE1	11.056979338586302
TERF1	DNMT3B	10.976587364077757
CD24	TERF1	10.88371355491606
DPPA4	COX7C	10.690334272298326
HSPE1	CD24	10.669937711169965
UGP2	CD24	10.648699488264512
UGP2	DPPA4	10.54061992192279
SLIRP	HSPE1	10.473180329292573
CD24	COX7C	10.421821672634376
HSPE1	DNMT3B	10.399150214042054
SLIRP	TERF1	10.035362004366009
COX7C	SLIRP	10.008658209392923
CD24	DNMT3B	9.972699073591869
POU5F1	CD24	9.90285531352338
COX7C	DPPA4	9.858830913145827
TERF1	POMP	9.825249966831779
COX7C	SNRPN	9.782398867652901
SNRPN	UGP2	9.754378465479009
POU5F1	UGP2	9.692766918830404
NME2	HSPE1	9.406388136759526
TERF1	CD24	9.312954193676845
SCGB3A2	TERF1	9.169846597765314
UGP2	L1TD1	8.781904323584303
SCGB3A2	TXN	8.765360808629898
SLIRP	MAP1B	8.746390937646245
TERF1	SLIRP	8.742284947356588
NME2	SEPHS1	8.732825293528403
NME2	TMSB4X	8.724550022704676
SCGB3A2	L1TD1	8.718882876379219
TXN	DPPA4	8.710132028612632
EEF1G	POMP	8.61358714697688
DNMT3B	SEPHS1	8.5845124538236
POMP	HSPE1	8.548893325906509
L1TD1	UGP2	8.532005186063607
HSPE1	POMP	8.513564847374987
SNRPN	COX7C	8.331331741268745
COX7C	L1TD1	8.32430923097352
L1TD1	POU5F1	8.20061630746347
POU5F1	TDGF1	8.142613265618682
CCDC86	MAP1B	8.049863092406554
TXN	TMSB4X	8.009300576130801
SLIRP	UGP2	7.8008523432590495
L1TD1	SCGB3A2	7.76941704778854
TDGF1	HSPE1	7.744137506677487
SCGB3A2	NME2	7.727070571862148
SLIRP	FTL	7.64931869260479
UGP2	COX7C	7.648891221967473
SCGB3A2	MAP1B	7.634276911671521
TXN	POMP	7.632884042208921
