TF	target	importance
LUM	COL3A1	45.21640805015473
LUM	DCN	42.60048776628589
DCN	VIM	38.64072989382471
DCN	LUM	37.902719876407204
COL3A1	VIM	37.16870171807078
COL3A1	LUM	33.45344534377692
HSPE1	VIM	33.08784340762489
TDGF1	VIM	29.88058695338865
DCN	COL3A1	26.093315570356303
POU5F1	VIM	25.423971265338086
LUM	VIM	24.3328241509998
VIM	LUM	24.285699773474132
VIM	COL3A1	23.920512473122947
DPPA4	VIM	21.68018007899522
COX7C	SLIRP	20.041491903860024
SLIRP	COX7C	19.511269012642718
VIM	DCN	19.330252439744097
HSPE1	POU5F1	19.200604202608925
POU5F1	DNMT3B	19.074475715442563
HSPE1	COX7C	18.594652888695357
PABPC1	LUM	18.075104524301082
COL3A1	DCN	17.00881973322188
VIM	DPPA4	16.958751956875698
DNMT3B	POU5F1	16.43471994082843
SEPHS1	LIN28A	15.934124185880227
SLIRP	TXN	15.89554204473121
TDGF1	TUBA1A	14.622147015709952
DNMT3B	VIM	14.374623604215019
APOE	DNMT3B	13.909597892954626
TMSB10	TXN	13.816846001524153
APOE	LIN28A	13.517681008722974
TDGF1	DPPA4	13.318935064311056
POU5F1	DPPA4	13.161984080840515
SERPINB6	VIM	12.959076589222457
POU5F1	SEPHS1	12.52016487163158
DPPA4	DNMT3B	12.380884053505598
PABPC1	COL3A1	12.350177027440317
HSPE1	SERPINB6	12.24999208621647
SEPHS1	VIM	12.230187530561139
HSPE1	SLIRP	12.096867054959352
TXN	SLIRP	11.890626155716253
RBP1	COL3A1	11.639417340042176
DNMT3B	SERPINB6	11.630565487284121
UGP2	PABPC1	11.487267434078625
PABPC1	DCN	11.435585950636224
TDGF1	SERPINB6	11.274370124657997
HSPE1	CHCHD2	11.247301798685074
HSPE1	DNMT3B	11.12694693135549
HSPE1	LIN28A	10.931369602327289
UGP2	MARCKS	10.781806440218919
VIM	COX7C	10.720599610748579
COX7C	TXN	10.66309435119151
PABPC1	VIM	10.645599009345045
HSPE1	SEPHS1	10.371805373119937
VIM	HSPE1	10.340736461240152
TXN	COX7C	10.258221827309342
COX7C	MAP1B	10.25202960539362
SMIM15	ZNF107	10.175879353358022
LIN28A	VIM	10.144283998478032
LIN28A	PABPC1	10.138181393624668
COX7C	HSPE1	10.07556539345681
SLIRP	NME2	9.992924278953087
PABPC1	MARCKS	9.909338420978322
HSPE1	PABPC1	9.769071653296143
VIM	DNMT3B	9.735073529305746
NME2	TXN	9.733623841167914
DPPA4	COX7C	9.661241030628249
DPPA4	POU5F1	9.466778215896799
SLIRP	UGP2	9.393598654361679
SERPINB6	TDGF1	9.343529971777055
MAP1B	TDGF1	9.315004009231716
SEPHS1	CKB	9.292300616997046
COX7C	TMSB10	9.260154215697614
TDGF1	MAP1B	9.204697998126836
COX7C	APOE	9.084143119250403
HSPE1	NME2	9.044111489793082
LUM	PABPC1	8.961425376229167
DNMT3B	APOE	8.946218347033113
DNMT3B	MAP1B	8.686887383323924
TUBA1A	TDGF1	8.646542088684198
VIM	LIN28A	8.505445172489338
VIM	POU5F1	8.419573700544401
POU5F1	L1TD1	8.335253882116431
DPPA4	SERPINB6	8.236611358761715
POU5F1	SERPINB6	8.194551619154643
CYP1B1	LUM	8.121961743801256
DPPA4	LUM	8.00490717358155
DPPA4	SLIRP	7.99255593199933
CHCHD2	HSPE1	7.979581106942887
