TF	target	importance
TERF1	L1TD1	36.686096730148414
L1TD1	DNMT3B	27.77457410918996
MAGED4	UGP2	20.549612867135775
L1TD1	TERF1	20.160433131254972
UGP2	HSPE1	19.291169090773728
LRP2	DLK1	18.992272975246475
DNMT3B	L1TD1	18.264177497895258
CD24	L1TD1	18.162067458013663
POU5F1	UGP2	17.25304487296417
POU5F1	L1TD1	16.947091258258652
POU5F1	CD24	16.83477402684401
L1TD1	CD24	15.893201214927842
TUBA1A	CD24	15.58265174101941
POU5F1	VIM	15.438994221335076
DLK1	LRP2	15.164634011530406
UGP2	CD24	14.732476929180919
SLIRP	TUBA1A	14.206470475833132
COX7C	FTL	13.988478188447104
L1TD1	DPPA4	13.942172400906193
POU5F1	DPPA4	13.879065075101272
MAGED4	KRT18	13.841922476426445
POU5F1	TUBA1A	13.494563592767111
POU5F1	SLIRP	13.189765884674678
SNRPN	L1TD1	13.177388399488764
PMAIP1	CD24	13.13865250539533
FTL	HSPE1	13.138136064425199
CD24	TUBA1A	12.881353278877318
SLIRP	DNMT3B	12.689747269676802
DPPA4	DNMT3B	12.658204909082821
CD24	FTL	12.603891139938012
TUBA1A	TERF1	12.367929026256565
TERF1	DNMT3B	12.361579587177994
TUBA1A	UGP2	12.2248282530168
SLIRP	HSPE1	12.182224149968514
CD24	IGFBP5	12.147266742470006
L1TD1	POU5F1	12.046064579176127
DNMT3B	UGP2	11.975920599107074
DNMT3B	TUBA1A	11.974750587154189
POU5F1	DNMT3B	11.591112849904258
HSPE1	FTL	11.472437589296772
SNRPN	APOE	11.465955174281795
POU5F1	HSPE1	11.455821121277928
FTL	CD24	11.246321799800683
WLS	L1TD1	11.239217861673321
TERF1	CD24	11.106599393543943
CKB	VIM	11.054448960996137
TMSB4X	FTL	10.751693481816611
L1TD1	SNRPN	10.73606013528164
CD24	PMAIP1	10.711601363183915
HSPE1	L1TD1	10.711107468357227
VIM	STMN2	10.555749276844265
POU5F1	IGFBP5	10.48286542861382
FTL	COX7C	10.423691158413144
SLIRP	CD24	10.31508219031325
TUBA1A	DNMT3B	10.294580227792473
TUBA1A	L1TD1	10.1496003797726
CD24	TERF1	10.012715312876344
CD24	SLIRP	10.01182548078727
CD24	POU5F1	10.008999933847349
SLIRP	POU5F1	9.955625055762154
NME2	COX7C	9.818628503563643
TUBA1A	SNRPN	9.798814439769501
VIM	CKB	9.797908490864977
TMSB4X	DLK1	9.771060173324312
CD24	PTN	9.709958017238856
KRT18	FTL	9.60812316858088
IGFBP5	CD24	9.508885960602797
NME2	L1TD1	9.388077994812646
L1TD1	HSPE1	9.328316799004813
UGP2	TUBA1A	9.305996107659706
CD24	UGP2	9.260472480495263
PRDX1	FTL	9.218251575933953
CD24	HSPE1	9.02776125854276
SLIRP	L1TD1	8.996972389096879
L1TD1	UGP2	8.98218218377632
SNRPN	HSPE1	8.980206283611187
TPT1	CKB	8.967405040937885
DNMT3B	FTL	8.867044634647202
PMAIP1	SNRPN	8.796704079451814
TDGF1	TERF1	8.780139480321742
TUBA1A	MAP1B	8.740498014298685
COX7C	HSPE1	8.71462564458366
AP1S2	TERF1	8.708396930450606
PRDX1	TERF1	8.667670963736645
TXN	TERF1	8.583944893368196
CD24	DNMT3B	8.563130988597546
PMAIP1	PTN	8.56127014487624
