TF	target	importance
PRDX1	FTL	26.51124602718841
PRDX1	TERF1	22.403822567226896
POU5F1	FTL	20.607169473381806
POU5F1	CD24	20.20350926357825
KRT18	TERF1	19.320400275134933
POU5F1	MARCKS	19.159012600639333
CD24	FTL	18.539226150093267
POU5F1	KRT18	18.429835347229343
FTL	KRT18	18.13594161928872
PRDX1	CD24	17.392046013349873
TERF1	KRT18	16.132842963697737
FTL	PRDX1	15.473007140120044
FTL	POU5F1	15.241658983653835
CD24	TERF1	15.064839971465881
FTL	TERF1	15.033761795129776
PRDX1	APOE	14.64034575881026
FTL	CD24	14.082316368364715
APOE	KRT18	13.28049070363639
TUBA1A	MARCKS	13.161285388522142
DNMT3B	FTL	12.998427540260877
FTL	DNMT3B	12.783596774118488
FTL	APOE	12.490954057797927
POU5F1	TERF1	12.312261240948937
APOE	FTL	11.781808438696384
APOE	PRDX1	11.776849130470382
FTL	MARCKS	11.766679106740789
CD24	POU5F1	11.385360117964836
KRT18	FTL	11.304741617085046
UGP2	POU5F1	11.028025224818196
CD24	PRDX1	10.982293869553152
APOE	MARCKS	10.429925431302442
L1TD1	FTL	9.958600561682324
CD24	APOE	9.892612036213855
POU5F1	TUBA1A	9.567523044161492
KRT18	POU5F1	9.424749009635324
APOE	DNMT3B	9.141633751123438
L1TD1	FZD3	9.03135647799973
POU5F1	L1TD1	8.854025782377414
PTN	POU5F1	8.818388479633372
L1TD1	TERF1	8.801518387213207
HSPE1	FTL	8.772995551506435
PRDX1	KRT18	8.718859287469469
MIEF1	MARCKS	8.520645347868234
WLS	MARCKS	8.466281002063987
POU5F1	DNMT3B	8.250318300426553
L1TD1	CD24	8.238859148785604
MARCKS	UGP2	8.235461846295795
APLF	POMP	8.221844632760872
ONECUT2	STMN2	8.154078574434026
TDGF1	TERF1	8.144179244288065
TXN	MARCKS	7.989252529857519
MARCKS	TUBA1A	7.840592107569474
CD24	L1TD1	7.711988927197777
HSPE1	PRDX1	7.7013995098591
TERF1	FTL	7.6704087951305295
FTL	TXN	7.6450383051943716
CD24	TXN	7.6443643462235515
MARCKS	POU5F1	7.642971980150181
MARCKS	WLS	7.425914165883882
DPPA4	SNRPN	7.338667510334789
TERF1	CD24	7.327554529086452
POMP	SLIRP	7.237324283321068
APOE	CD24	7.122651665005373
TERF1	MARCKS	7.069867593696024
TERF1	PRDX1	7.04720612269031
PABPC1	DLK1	7.039819019545029
CD24	UGP2	7.017869304961023
TXN	SNRPN	6.954499095109406
DNMT3B	KRT18	6.930631636568173
KRT18	DNMT3B	6.888756073956712
APOE	TUBA1A	6.885419472346115
PRDX1	SLIRP	6.834254230935747
PRDX1	MARCKS	6.822292294507259
PRDX1	HSPE1	6.811160806884477
PRDX1	UGP2	6.75351345218367
POU5F1	APOE	6.735238124264269
FTL	SLIRP	6.733181690779593
DNMT3B	APOE	6.714508017929701
SERPINB6	SNRPN	6.6919180336318185
UGP2	DNMT3B	6.617832047199972
TERF1	L1TD1	6.59123186079742
CD24	SLIRP	6.481121366589167
DCN	TAF1B	6.3717240574003755
UGP2	SNRPN	6.34515894341382
MARCKS	APOE	6.30735801791137
KRT18	PTN	6.28253308275701
KRT18	PRDX1	6.217229513698158
NME2	HSPE1	6.198595888100158
SOX15	FZD3	5.9508623427355705
L1TD1	POU5F1	5.9416049829291255
POU5F1	UGP2	5.940166033735982
FTL	TDGF1	5.886802734323682
TERF1	POU5F1	5.828607989176455
POU5F1	TXN	5.735288294491287
FTL	L1TD1	5.73494904030438
MARCKS	TXN	5.717958477350172
FTL	WLS	5.702272355919296
TDGF1	FTL	5.690677551908256
FBXL15	SLC35E1	5.625392849980535
SLIRP	CD24	5.567575061271462
KRT18	CD24	5.519175852781875
COMMD7	HSPE1	5.46173899325644
PRDX1	TUBA1A	5.450839437614424
ONECUT2	NME2	5.4468611608105215
POU5F1	DPYSL5	5.440817173578752
ANXA2	FTL	5.409586785469341
DKK1	PUDP	5.393110898075802
UGP2	FTL	5.390653809378082
NAA40	HLA-DMA	5.355919518383055
NME2	PRDX1	5.315979500496658
SNRPN	FZD3	5.283762362702186
PRDX1	POU5F1	5.246345603197473
HSPE1	CD24	5.210098826912737
POU5F1	SNRPN	5.0974520484663035
MARCKS	KRT18	5.076862707188149
HSPE1	NME2	5.055194738148046
TPT1	UGP2	5.041811301914882
KRT8	KRT18	5.002657136902895
KRT18	MARCKS	4.971615112849355
DPYSL5	MARCKS	4.9496935969645675
SNRPN	TXN	4.925291160584996
MARCKS	PRDX1	4.893872177092014
TDGF1	SLIRP	4.848610059132813
APOE	ACTG1	4.847598721056049
TDGF1	L1TD1	4.831272756572409
MAML3	MARCKS	4.819601813072136
TEAD1	CHD1L	4.805926433345691
DKK1	DPY19L4	4.8037336210491475
SNUPN	FZD3	4.800711626542941
PRDX1	WLS	4.7939001408788515
CD24	KRT18	4.743117383065579
APOE	TERF1	4.708956359826879
TXN	FTL	4.702151143129359
VARS	SAMD4A	4.700490831607842
PRDX1	DNMT3B	4.68135208734537
BIN3	TAF1B	4.680275226024285
POMP	PRDX1	4.649994682154839
CD24	TDGF1	4.639427132370422
SLIRP	KRT18	4.61010983897436
